SERIAL,POSTCODE_2021,latitude_o,longitude_o,D3_2021
204209209,GU7,51.1896186,-0.6121645,2
122000603,SN12,51.3722003,-2.1366155,2
122004080,IV30,57.6524753,-3.3254479,1
122006117,ML3,55.7699883,-4.0550162,2
122008806,SY14,53.0312383,-2.7680979,1
122010439,G1,55.8588265,-4.2488914,2
122011618,CM6,51.8783006,0.3661906,2
122014490,TS18,54.5609693,-1.3240632,2
122019207,TD7,55.5365991,-2.8730161,2
122022193,RG45,51.3715067,-0.7995721,2
150113082,B75,52.578728,-1.808515,2
150115063,EC1V,51.5268168,-0.0978016,2
150116438,LN11,53.3730382,0.0260752,2
150123468,N21,51.6366698,-0.0997398,2
150125710,TN9,51.1916379,0.2749493,2
150129726,NR2,52.6291722,1.2800286,2
150131100,NR31,52.5749904,1.708835,2
150134915,EH12,55.9418955,-3.279118,2
150134919,NN15,52.3822978,-0.7029196,2
150136959,S6,53.4028113,-1.5130984,2
150137217,LN5,53.1742178,-0.5568934,2
150138558,NN16,52.4046781,-0.7057147,2
150141318,BL3,53.5646619,-2.4321772,2
150143151,B66,52.4926661,-1.9647632,2
150149898,PL25,50.3413052,-4.7782631,2
150150374,CV35,52.2215666,-1.593202,2
150154539,LE11,52.7680459,-1.2191752,2
150156914,IP1,52.0668563,1.13956,1
150157363,CA3,54.9093172,-2.9402815,2
150158122,LA14,54.1182959,-3.2311912,1
150161590,MK46,52.1557959,-0.7020457,1
150164632,B8,52.4911095,-1.8413277,2
150169293,IP4,52.0604324,1.1802287,2
150170871,BH23,50.7475595,-1.7543605,2
150176399,BA3,51.2717539,-2.4785029,2
150177093,OX29,51.7940797,-1.435656,2
150177160,CM3,51.7211161,0.5842087,2
150179107,BN43,50.8360644,-0.2669108,2
150181279,PO12,50.7979491,-1.1418001,2
150181562,EN3,51.6604157,-0.0366574,2
150184388,YO10,53.9504564,-1.0575048,2
150184405,EX31,51.0857144,-4.068489,1
150186152,CF5,51.4829052,-3.2447881,2
150190752,E17,51.5869039,-0.0207805,2
150196163,GU46,51.3385812,-0.8320474,1
150198785,AL5,51.8153821,-0.3520548,2
150202786,SE1,51.4991997,-0.0916245,2
150211045,TQ12,50.5294305,-3.6123156,2
150223007,MK41,52.1526153,-0.4477354,2
150223650,BH24,50.8432801,-1.7884673,2
150225298,DN22,53.3237589,-0.9278773,2
150228172,GL6,51.7343681,-2.1938197,2
175000679,GU14,51.2939331,-0.763558,2
175002375,SK9,53.3278962,-2.2304439,2
175002813,SM3,51.3712541,-0.2162485,2
175009515,PA29,55.8065512,-5.4754053,2
175011624,LE10,52.5368832,-1.3698567,2
175011980,RM19,51.4828338,0.2443696,2
175012564,HU7,53.7909078,-0.3292706,2
175013702,LN8,53.374899,-0.3265738,1
175020178,NN7,52.2082231,-0.9287786,2
175022291,CB7,52.3612799,0.3252127,2
175023297,CM77,51.8667384,0.5523052,2
175026496,SW19,51.4241552,-0.2029208,2
175034269,NG17,53.1160576,-1.2615156,1
175048431,CA23,54.5152203,-3.4929534,1
175048537,NE66,55.4286568,-1.7296243,1
175049850,LL61,53.1959058,-4.262625,2
175054015,SS4,51.5930469,0.7118562,1
175055513,TW20,51.4274804,-0.5525407,2
175055931,BA11,51.2332006,-2.3245542,1
175058204,WS14,52.6640162,-1.8161526,2
175059567,NE30,55.0213845,-1.4386877,1
175060182,B98,52.3022428,-1.9130643,2
175060537,BD14,53.7821908,-1.8183815,2
175062260,DA14,51.4250037,0.1117751,2
175069502,B92,52.4372881,-1.7739201,2
175070005,PO7,50.8829409,-1.0406889,2
175086873,EH22,55.8850462,-3.0607492,1
204100404,M3,53.4836687,-2.2528623,2
204100951,SO31,50.8700098,-1.2998114,2
204101894,B78,52.6055691,-1.6733206,1
204103494,LS6,53.8200966,-1.5707608,2
204105447,EC3V,51.5129745,-0.0858623,2
204109538,G34,55.8679239,-4.1123443,2
204109713,IV32,57.630793,-3.1048715,2
204117046,NW6,51.542172,-0.1962878,2
204118371,PR3,53.8688401,-2.7203057,2
204130110,PR25,53.6945907,-2.6937368,2
204138732,ML3,55.7699883,-4.0550162,2
204139372,CF31,51.5088642,-3.5784949,2
204144200,SG13,51.7877234,-0.0715474,2
204147036,NG7,52.9579006,-1.1725474,2
204148063,CW6,53.1625246,-2.6672351,2
204148070,CT6,51.3644106,1.1295235,2
204149172,DL11,54.4394631,-1.876604,2
204150551,MK13,52.0532824,-0.7825057,2
204151126,BN2,50.8250741,-0.1010175,2
204151131,DN15,53.6143425,-0.6522291,2
204193278,M20,53.4241784,-2.232693,2
204201742,SG4,51.9206087,-0.2595399,2
204201814,LS1,53.7975973,-1.5516427,2
204201911,BB1,53.7567872,-2.462979,1
204202205,BD3,53.7984863,-1.7267147,2
204203103,NW5,51.551787,-0.1449996,2
204204298,GU22,51.3121626,-0.5517403,2
204204416,LE1,52.6339706,-1.1326155,1
204204437,WF1,53.6874355,-1.4935886,2
204204507,PO3,50.8162998,-1.059158,2
204205039,PR5,53.731555,-2.6577319,2
204205092,HP2,51.7643313,-0.4522784,2
