SERIAL,POSTCODE_2021,latitude_o,longitude_o,D3_2021
150131222,CM6,51.8783006,0.3661906,5
150160006,RH13,51.0337894,-0.3279851,4
150197237,SO20,51.1166333,-1.5167063,4
150219715,KT2,51.4189252,-0.2906684,4
204103791,NW3,51.5523422,-0.1725058,3
204122466,ME16,51.273831,0.4960741,3
204207361,DN8,53.6152815,-0.9552368,3
204213664,SA10,51.6875078,-3.8007881,3
204258499,DE13,52.8072661,-1.6937154,4
988814508,AB12,57.1020973,-2.1129498,4
988832743,BH5,50.725298,-1.8322739,3
9661132304,YO7,54.2246863,-1.3514255,3
9661185123,NR3,52.6432723,1.2917283,5
122003213,CH62,53.334283,-2.981572,4
122003640,G73,55.8195192,-4.2065974,4
122006465,G45,55.8049645,-4.2327269,4
122007389,ML12,55.5680243,-3.5951775,3
122010127,CF62,51.4039362,-3.310979,4
122010412,G3,55.8658506,-4.2778116,3
122012046,TF3,52.6674608,-2.4483576,3
122012426,NG17,53.1160576,-1.2615156,4
122012981,IP33,52.2429658,0.7086249,3
122014734,BA5,51.212571,-2.6552733,3
122015939,G76,55.7770362,-4.2730765,3
122018194,W4,51.4912309,-0.2640107,3
122018695,IV12,57.5743529,-3.8644897,4
122019203,AB42,57.5010193,-1.8922218,3
122020066,NP25,51.8025304,-2.7242692,3
150108254,LN13,53.265048,0.1836393,3
150108392,DT10,50.9376061,-2.3343561,3
150108810,WR2,52.1883104,-2.2484883,4
150108892,DN9,53.5059237,-0.8929973,4
150109284,MK2,51.990521,-0.7252031,4
150109504,DY11,52.3845094,-2.2621081,3
150109552,LS19,53.859728,-1.6839678,4
150109626,OL14,53.7144173,-2.1009851,3
150110007,SA4,51.6732535,-4.0486716,5
150110017,DA6,51.4551736,0.1388193,3
150110106,CF14,51.5198959,-3.2042721,3
150111736,UB10,51.5493776,-0.4519988,4
150112724,SK13,53.4486314,-1.9643687,4
150113253,BB2,53.7416815,-2.5018572,3
150113640,BN5,50.9270143,-0.2687648,3
150113730,BS20,51.4806147,-2.7535558,4
150113741,BS22,51.3610555,-2.9293627,5
150113805,BS48,51.4251376,-2.7478067,4
150114033,SS13,51.5750029,0.5109302,4
150114103,CM5,51.7217242,0.2482353,4
150114152,CO11,51.942012,1.0767083,3
150114286,CT21,51.0725975,1.0760693,4
150114460,CW6,53.1625246,-2.6672351,3
150114559,DE14,52.8047417,-1.643379,5
150114682,DL12,54.5721304,-1.9855857,4
150114697,DL2,54.5282376,-1.5973398,4
150115030,E9,51.5440387,-0.0430441,3
150115181,EN2,51.6599921,-0.0941879,4
150115296,EX39,51.015257,-4.2457737,4
150115533,GU28,50.9910457,-0.6327655,3
150115638,HA9,51.5607305,-0.2857817,3
150115734,HP12,51.6259591,-0.7795608,4
150116081,KT16,51.3825678,-0.516428,4
150116817,ME16,51.273831,0.4960741,5
150116932,MK45,52.0216132,-0.4703173,5
150116992,N16,51.5625965,-0.0766528,4
150117094,NE2,54.9870836,-1.6061088,3
150117296,NG31,52.9144482,-0.6420228,4
150117459,NR12,52.7597763,1.4720163,4
150117731,OX15,52.0303387,-1.4113905,3
150117758,HP18,51.8202707,-0.9688388,4
150117782,OX4,51.7312035,-1.2173945,4
150118027,PO11,50.7920495,-0.9756968,5
150118176,PR4,53.7546364,-2.8341777,5
150118562,S4,53.4009143,-1.4496573,4
150118684,SE1,51.4991997,-0.0916245,4
150119088,SN5,51.5668285,-1.8397596,3
150119605,TA1,51.0132224,-3.1028526,4
150119727,TN15,51.302716,0.2746409,3
150119744,TN21,50.9581826,0.2628954,4
150119768,TN27,51.1678981,0.6938213,3
150119993,TW10,51.4477641,-0.3029046,4
150120013,TW16,51.4157677,-0.4169227,3
150120028,TW20,51.4274804,-0.5525407,4
150120737,WV4,52.5614099,-2.1447119,4
150120818,YO32,54.0124771,-1.0593934,3
150121580,DY3,52.5308396,-2.1312352,3
150121865,WA4,53.3653734,-2.5758118,3
150122439,WA4,53.3653734,-2.5758118,4
150122853,SO40,50.9129875,-1.5038949,4
150122871,RH14,51.0330425,-0.4847114,3
150122928,E8,51.5436904,-0.0661452,3
150123741,TF7,52.63923,-2.4504763,4
150124997,RG2,51.4201494,-0.9517094,5
150125835,CT11,51.3360593,1.4132445,3
150125910,PO9,50.8634319,-0.9839667,4
150126330,KA2,55.5956268,-4.566525,3
150127018,EX39,51.015257,-4.2457737,3
150127331,BS31,51.4087555,-2.4924616,3
150127641,WV8,52.6259036,-2.1876739,3
150128130,HU4,53.7362344,-0.4040642,3
150128359,CV13,52.6173527,-1.413049,4
150130704,LS11,53.776223,-1.5573555,4
150131005,L3,53.4084083,-2.984451,3
150131165,NN13,52.0340435,-1.1480035,3
150131188,PR5,53.731555,-2.6577319,3
150131334,CV47,52.2354306,-1.3854686,4
150131343,W3,51.5106335,-0.2679031,4
150131463,NW10,51.5412842,-0.2480596,4
150131513,EH46,55.7404828,-3.3566775,4
150131998,BH1,50.7249204,-1.8602459,3
150132022,IP29,52.190897,0.6587294,4
150132201,IG3,51.5631159,0.1029088,4
150132414,TR18,50.1174074,-5.5425056,4
150132504,SW18,51.4512533,-0.191462,3
150134784,LE14,52.7843462,-0.8971578,4
150135483,B93,52.3804941,-1.7438511,4
150135602,CV11,52.5198747,-1.453464,4
150135745,N22,51.5998948,-0.1102841,3
150135936,ML11,55.6671734,-3.7891903,4
150136284,TR27,50.1828787,-5.4037493,4
150136630,LN11,53.3730382,0.0260752,4
150136671,SO50,50.9693035,-1.3404267,4
150137002,LA1,54.0467054,-2.7994612,4
150138010,DG1,55.0735752,-3.5817215,3
150138637,CV37,52.1827385,-1.715127,3
150138686,GL16,51.795578,-2.6128048,3
150138805,IG11,51.5350133,0.0932901,4
150139014,SO40,50.9129875,-1.5038949,5
150139152,CT5,51.3534291,1.0349292,5
150139438,G71,55.8223628,-4.0748284,3
150139908,FK2,56.0050252,-3.7562534,3
150140325,EX2,50.7095079,-3.5143056,4
150140742,TQ1,50.4730506,-3.523599,4
150140877,CR3,51.2881312,-0.0824599,3
150141588,BN9,50.795683,0.0498051,4
150143172,TN16,51.2930684,0.0517089,4
150143552,BN16,50.814554,-0.4957555,4
150143924,HR7,52.1855201,-2.5236492,3
150144025,DL14,54.6515089,-1.6921535,3
150144573,CV32,52.2979862,-1.531491,4
150144708,SA31,51.8567444,-4.3082937,4
150145566,WD5,51.7026256,-0.4163911,3
150145665,PE19,52.2359693,-0.2636521,4
150146214,SK17,53.2445366,-1.8815141,4
150146814,PH16,56.7067956,-3.8062465,3
150147680,WC1B,51.5194545,-0.1259647,4
150148087,PO30,50.6911019,-1.31348,4
150148093,G32,55.8488374,-4.1655409,4
150148502,B43,52.5485092,-1.9307835,3
150148835,WS2,52.5892854,-2.0043778,4
150148874,PA44,55.7994182,-6.2935908,3
150149009,RG8,51.5062415,-1.1063426,3
150149213,EC4A,51.5157778,-0.1082509,3
150149391,SE1,51.4991997,-0.0916245,3
150149506,W12,51.5083087,-0.2407824,5
150149884,SW19,51.4241552,-0.2029208,4
150150136,KY7,56.1977936,-3.1580986,3
150150321,DE13,52.8072661,-1.6937154,4
150150471,OX1,51.7451905,-1.2614253,4
150151333,EX16,50.9226683,-3.4916806,4
150151340,NE17,54.9125064,-1.8171473,4
150151341,KT15,51.3637699,-0.4958004,3
150151998,SN15,51.4723,-2.0830579,5
150152064,TR4,50.2858425,-5.1375346,5
150152339,NN8,52.3032613,-0.6996321,4
150152433,W4,51.4912309,-0.2640107,4
150152434,AB15,57.1375445,-2.16861,3
150152764,CB11,51.9992272,0.2120024,3
150152808,CM6,51.8783006,0.3661906,4
150153066,OX28,51.7869462,-1.4860576,3
150153245,L40,53.6031134,-2.8417029,3
150153496,DE65,52.8669174,-1.6116951,3
